system:index,NO2_mean,fecha,.geo
20190111T235001_20190118T012106,-9999,2019-01-12,"{""type"":""MultiPoint"",""coordinates"":[]}"
20190112T013131_20190118T031410,-9999,2019-01-12,"{""type"":""MultiPoint"",""coordinates"":[]}"
20190112T031301_20190118T045807,-9999,2019-01-12,"{""type"":""MultiPoint"",""coordinates"":[]}"
20190112T045431_20190118T064608,-9999,2019-01-12,"{""type"":""MultiPoint"",""coordinates"":[]}"
20190112T063601_20190118T082526,-9999,2019-01-12,"{""type"":""MultiPoint"",""coordinates"":[]}"
20190112T081732_20190118T100305,-9999,2019-01-12,"{""type"":""MultiPoint"",""coordinates"":[]}"
20190112T095902_20190118T145938,-9999,2019-01-12,"{""type"":""MultiPoint"",""coordinates"":[]}"
20190112T114032_20190118T145841,-9999,2019-01-12,"{""type"":""MultiPoint"",""coordinates"":[]}"
20190112T132202_20190118T150133,-9999,2019-01-12,"{""type"":""MultiPoint"",""coordinates"":[]}"
20190112T150332_20190118T164954,-9999,2019-01-12,"{""type"":""MultiPoint"",""coordinates"":[]}"
20190112T164502_20190118T184007,9.232987703154485E-6,2019-01-12,"{""type"":""MultiPoint"",""coordinates"":[]}"
20190112T182632_20190118T203414,3.1273143859949517E-6,2019-01-12,"{""type"":""MultiPoint"",""coordinates"":[]}"
20190112T200802_20190118T215615,-9999,2019-01-12,"{""type"":""MultiPoint"",""coordinates"":[]}"
20190112T214932_20190118T234349,-9999,2019-01-12,"{""type"":""MultiPoint"",""coordinates"":[]}"
20190112T233102_20190119T011054,-9999,2019-01-12,"{""type"":""MultiPoint"",""coordinates"":[]}"
20190113T011232_20190119T025506,-9999,2019-01-13,"{""type"":""MultiPoint"",""coordinates"":[]}"
20190113T025402_20190119T045016,-9999,2019-01-13,"{""type"":""MultiPoint"",""coordinates"":[]}"
20190113T043532_20190120T145752,-9999,2019-01-13,"{""type"":""MultiPoint"",""coordinates"":[]}"
20190113T061702_20190119T081500,-9999,2019-01-13,"{""type"":""MultiPoint"",""coordinates"":[]}"
20190113T075832_20190119T095405,-9999,2019-01-13,"{""type"":""MultiPoint"",""coordinates"":[]}"
20190113T094003_20190119T112539,-9999,2019-01-13,"{""type"":""MultiPoint"",""coordinates"":[]}"
20190113T112133_20190119T132441,-9999,2019-01-13,"{""type"":""MultiPoint"",""coordinates"":[]}"
20190113T130303_20190119T150326,-9999,2019-01-13,"{""type"":""MultiPoint"",""coordinates"":[]}"
20190113T144433_20190119T162548,-9999,2019-01-13,"{""type"":""MultiPoint"",""coordinates"":[]}"
20190113T162603_20190119T180905,-9999,2019-01-13,"{""type"":""MultiPoint"",""coordinates"":[]}"
20190113T180733_20190119T201939,8.388822890822615E-6,2019-01-13,"{""type"":""MultiPoint"",""coordinates"":[]}"
20190113T194903_20190119T213534,-9999,2019-01-13,"{""type"":""MultiPoint"",""coordinates"":[]}"
20190113T213033_20190119T232230,-9999,2019-01-13,"{""type"":""MultiPoint"",""coordinates"":[]}"
20190113T231203_20190120T005804,-9999,2019-01-13,"{""type"":""MultiPoint"",""coordinates"":[]}"
20190114T005333_20190120T023406,-9999,2019-01-14,"{""type"":""MultiPoint"",""coordinates"":[]}"
20190114T023503_20190120T042343,-9999,2019-01-14,"{""type"":""MultiPoint"",""coordinates"":[]}"
20190114T041633_20190120T060843,-9999,2019-01-14,"{""type"":""MultiPoint"",""coordinates"":[]}"
20190114T055803_20190120T080017,-9999,2019-01-14,"{""type"":""MultiPoint"",""coordinates"":[]}"
20190114T073934_20190120T091313,-9999,2019-01-14,"{""type"":""MultiPoint"",""coordinates"":[]}"
20190114T092104_20190120T112931,-9999,2019-01-14,"{""type"":""MultiPoint"",""coordinates"":[]}"
20190114T110234_20190120T131900,-9999,2019-01-14,"{""type"":""MultiPoint"",""coordinates"":[]}"
20190114T124404_20190120T145405,-9999,2019-01-14,"{""type"":""MultiPoint"",""coordinates"":[]}"
20190114T142534_20190120T161358,-9999,2019-01-14,"{""type"":""MultiPoint"",""coordinates"":[]}"
20190114T160704_20190120T173725,-9999,2019-01-14,"{""type"":""MultiPoint"",""coordinates"":[]}"
20190114T174834_20190120T200151,7.88112496005001E-6,2019-01-14,"{""type"":""MultiPoint"",""coordinates"":[]}"
20190114T193004_20190120T212135,-9999,2019-01-14,"{""type"":""MultiPoint"",""coordinates"":[]}"
20190114T211134_20190120T225238,-9999,2019-01-14,"{""type"":""MultiPoint"",""coordinates"":[]}"
20190114T225304_20190121T005236,-9999,2019-01-14,"{""type"":""MultiPoint"",""coordinates"":[]}"
20190115T003434_20190121T022106,-9999,2019-01-15,"{""type"":""MultiPoint"",""coordinates"":[]}"
20190115T021605_20190121T040102,-9999,2019-01-15,"{""type"":""MultiPoint"",""coordinates"":[]}"
20190115T035735_20190121T060026,-9999,2019-01-15,"{""type"":""MultiPoint"",""coordinates"":[]}"
20190115T053905_20190121T074735,-9999,2019-01-15,"{""type"":""MultiPoint"",""coordinates"":[]}"
20190115T072035_20190121T090529,-9999,2019-01-15,"{""type"":""MultiPoint"",""coordinates"":[]}"
20190115T090205_20190121T103943,-9999,2019-01-15,"{""type"":""MultiPoint"",""coordinates"":[]}"
20190115T104335_20190121T130504,-9999,2019-01-15,"{""type"":""MultiPoint"",""coordinates"":[]}"
20190115T122505_20190121T142742,-9999,2019-01-15,"{""type"":""MultiPoint"",""coordinates"":[]}"
20190115T140635_20190121T160022,-9999,2019-01-15,"{""type"":""MultiPoint"",""coordinates"":[]}"
20190115T154805_20190121T172212,-9999,2019-01-15,"{""type"":""MultiPoint"",""coordinates"":[]}"
20190115T172935_20190121T194125,6.215417665254417E-6,2019-01-15,"{""type"":""MultiPoint"",""coordinates"":[]}"
20190115T191105_20190121T212525,-9999,2019-01-15,"{""type"":""MultiPoint"",""coordinates"":[]}"
20190115T205236_20190121T222733,-9999,2019-01-15,"{""type"":""MultiPoint"",""coordinates"":[]}"
20190115T223406_20190122T003127,-9999,2019-01-15,"{""type"":""MultiPoint"",""coordinates"":[]}"
20190116T001536_20190122T142417,-9999,2019-01-16,"{""type"":""MultiPoint"",""coordinates"":[]}"
20190116T015706_20190122T141829,-9999,2019-01-16,"{""type"":""MultiPoint"",""coordinates"":[]}"
20190116T033836_20190122T143715,-9999,2019-01-16,"{""type"":""MultiPoint"",""coordinates"":[]}"
20190116T052006_20190122T144549,-9999,2019-01-16,"{""type"":""MultiPoint"",""coordinates"":[]}"
20190116T070136_20190122T145748,-9999,2019-01-16,"{""type"":""MultiPoint"",""coordinates"":[]}"
20190116T084306_20190122T143918,-9999,2019-01-16,"{""type"":""MultiPoint"",""coordinates"":[]}"
20190116T102436_20190122T145314,-9999,2019-01-16,"{""type"":""MultiPoint"",""coordinates"":[]}"
20190116T120607_20190122T151635,-9999,2019-01-16,"{""type"":""MultiPoint"",""coordinates"":[]}"
20190116T134737_20190122T153126,-9999,2019-01-16,"{""type"":""MultiPoint"",""coordinates"":[]}"
20190116T152907_20190122T173439,-9999,2019-01-16,"{""type"":""MultiPoint"",""coordinates"":[]}"
20190116T171037_20190123T104808,6.127633848692349E-6,2019-01-16,"{""type"":""MultiPoint"",""coordinates"":[]}"
20190116T185207_20190123T104426,-9999,2019-01-16,"{""type"":""MultiPoint"",""coordinates"":[]}"
20190116T203337_20190123T101938,-9999,2019-01-16,"{""type"":""MultiPoint"",""coordinates"":[]}"
20190116T221507_20190123T101848,-9999,2019-01-16,"{""type"":""MultiPoint"",""coordinates"":[]}"
20190116T235637_20190123T102649,-9999,2019-01-17,"{""type"":""MultiPoint"",""coordinates"":[]}"
20190117T013807_20190123T102321,-9999,2019-01-17,"{""type"":""MultiPoint"",""coordinates"":[]}"
20190117T031937_20190123T102510,-9999,2019-01-17,"{""type"":""MultiPoint"",""coordinates"":[]}"
20190117T050107_20190123T104705,-9999,2019-01-17,"{""type"":""MultiPoint"",""coordinates"":[]}"
20190117T064237_20190123T105416,-9999,2019-01-17,"{""type"":""MultiPoint"",""coordinates"":[]}"
20190117T082408_20190123T103922,-9999,2019-01-17,"{""type"":""MultiPoint"",""coordinates"":[]}"
20190117T100538_20190123T122631,-9999,2019-01-17,"{""type"":""MultiPoint"",""coordinates"":[]}"
20190117T114708_20190123T140456,-9999,2019-01-17,"{""type"":""MultiPoint"",""coordinates"":[]}"
20190117T132838_20190123T153425,-9999,2019-01-17,"{""type"":""MultiPoint"",""coordinates"":[]}"
20190117T151008_20190123T165642,-9999,2019-01-17,"{""type"":""MultiPoint"",""coordinates"":[]}"
20190117T165138_20190123T185558,1.1148748933979556E-5,2019-01-17,"{""type"":""MultiPoint"",""coordinates"":[]}"
20190117T183308_20190123T210117,-9999,2019-01-17,"{""type"":""MultiPoint"",""coordinates"":[]}"
20190117T201438_20190123T220612,-9999,2019-01-17,"{""type"":""MultiPoint"",""coordinates"":[]}"
20190117T215609_20190123T233624,-9999,2019-01-17,"{""type"":""MultiPoint"",""coordinates"":[]}"
20190117T233739_20190124T013555,-9999,2019-01-17,"{""type"":""MultiPoint"",""coordinates"":[]}"
20190118T011909_20190124T025051,-9999,2019-01-18,"{""type"":""MultiPoint"",""coordinates"":[]}"
20190118T030039_20190124T045139,-9999,2019-01-18,"{""type"":""MultiPoint"",""coordinates"":[]}"
20190118T044209_20190124T063056,-9999,2019-01-18,"{""type"":""MultiPoint"",""coordinates"":[]}"
20190118T062339_20190124T083050,-9999,2019-01-18,"{""type"":""MultiPoint"",""coordinates"":[]}"
20190118T080509_20190124T094112,-9999,2019-01-18,"{""type"":""MultiPoint"",""coordinates"":[]}"
20190118T094639_20190124T120013,-9999,2019-01-18,"{""type"":""MultiPoint"",""coordinates"":[]}"
20190118T112810_20190124T135053,-9999,2019-01-18,"{""type"":""MultiPoint"",""coordinates"":[]}"
20190118T130940_20190124T145837,-9999,2019-01-18,"{""type"":""MultiPoint"",""coordinates"":[]}"
20190118T145110_20190124T162636,-9999,2019-01-18,"{""type"":""MultiPoint"",""coordinates"":[]}"
20190118T163240_20190124T183944,-9999,2019-01-18,"{""type"":""MultiPoint"",""coordinates"":[]}"
20190118T181410_20190124T202710,5.41011934958235E-6,2019-01-18,"{""type"":""MultiPoint"",""coordinates"":[]}"
20190118T195540_20190124T215039,-9999,2019-01-18,"{""type"":""MultiPoint"",""coordinates"":[]}"
20190118T213710_20190124T233055,-9999,2019-01-18,"{""type"":""MultiPoint"",""coordinates"":[]}"
20190118T231840_20190125T011231,-9999,2019-01-18,"{""type"":""MultiPoint"",""coordinates"":[]}"
20190119T010010_20190125T023439,-9999,2019-01-19,"{""type"":""MultiPoint"",""coordinates"":[]}"
20190119T024140_20190125T042606,-9999,2019-01-19,"{""type"":""MultiPoint"",""coordinates"":[]}"
20190119T042311_20190125T062248,-9999,2019-01-19,"{""type"":""MultiPoint"",""coordinates"":[]}"
20190119T060441_20190126T021136,-9999,2019-01-19,"{""type"":""MultiPoint"",""coordinates"":[]}"
20190119T074611_20190125T092751,-9999,2019-01-19,"{""type"":""MultiPoint"",""coordinates"":[]}"
20190119T092741_20190125T112847,-9999,2019-01-19,"{""type"":""MultiPoint"",""coordinates"":[]}"
20190119T110911_20190125T133041,-9999,2019-01-19,"{""type"":""MultiPoint"",""coordinates"":[]}"
20190119T125041_20190125T150648,-9999,2019-01-19,"{""type"":""MultiPoint"",""coordinates"":[]}"
20190119T143211_20190125T161940,-9999,2019-01-19,"{""type"":""MultiPoint"",""coordinates"":[]}"
20190119T161341_20190125T175413,-9999,2019-01-19,"{""type"":""MultiPoint"",""coordinates"":[]}"
20190119T175512_20190125T195348,8.652600289205723E-6,2019-01-19,"{""type"":""MultiPoint"",""coordinates"":[]}"
